               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  76,              1.8446,             0.83189,               1.554,             0.97195,             0.99681,             0.98788,             0.67405,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  77,              1.8421,             0.83916,              1.5664,             0.97363,             0.99671,             0.98931,             0.68128,                   0,                   0,                   0,            0.007492,            0.007492,            0.007492
                  78,              1.8122,             0.82163,              1.5511,             0.97447,             0.99586,             0.98858,              0.6888,                   0,                   0,                   0,            0.007459,            0.007459,            0.007459
                  79,              1.8206,              0.8243,              1.5497,              0.9769,             0.99591,             0.98437,             0.67834,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  80,              1.8196,             0.83029,              1.5522,             0.97538,             0.99416,             0.98766,             0.67638,                   0,                   0,                   0,            0.007393,            0.007393,            0.007393
                  81,               1.833,             0.82851,              1.5591,             0.97738,             0.99648,             0.98818,              0.6822,                   0,                   0,                   0,             0.00736,             0.00736,             0.00736
                  82,              1.8276,             0.82927,              1.5557,             0.97555,             0.99451,              0.9876,             0.68694,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  83,              1.8189,             0.81553,              1.5536,             0.97355,             0.99305,             0.98587,             0.67464,                   0,                   0,                   0,            0.007294,            0.007294,            0.007294
                  84,              1.8178,             0.82259,              1.5563,             0.97609,              0.9963,             0.98866,             0.67441,                   0,                   0,                   0,            0.007261,            0.007261,            0.007261
                  85,              1.8035,             0.80432,              1.5501,              0.9731,             0.99509,             0.98506,             0.67692,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  86,              1.7984,             0.81092,               1.531,             0.97377,             0.99536,             0.98579,             0.66845,                   0,                   0,                   0,            0.007195,            0.007195,            0.007195
                  87,              1.8103,             0.80966,              1.5503,             0.97354,             0.99591,             0.98825,             0.68077,                   0,                   0,                   0,            0.007162,            0.007162,            0.007162
                  88,              1.8152,             0.81572,               1.552,              0.9717,             0.99671,              0.9885,             0.67845,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  89,              1.8096,             0.80997,              1.5502,             0.97468,             0.99473,             0.98619,              0.6864,                   0,                   0,                   0,            0.007096,            0.007096,            0.007096
                  90,              1.8085,             0.81026,              1.5415,             0.97463,             0.99647,             0.98892,             0.68674,                   0,                   0,                   0,            0.007063,            0.007063,            0.007063
                  91,              1.8196,             0.82665,              1.5498,             0.97531,             0.99543,             0.98781,             0.68562,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  92,              1.8068,             0.81334,              1.5441,             0.97682,             0.99735,             0.98822,             0.67731,                   0,                   0,                   0,            0.006997,            0.006997,            0.006997
                  93,              1.8029,             0.80764,              1.5457,             0.97775,             0.99855,             0.98723,             0.68561,                   0,                   0,                   0,            0.006964,            0.006964,            0.006964
                  94,              1.8112,             0.81619,              1.5497,             0.97769,             0.99872,             0.98761,             0.68813,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  95,              1.7983,             0.80465,              1.5349,             0.97771,             0.99671,             0.98785,             0.68611,                   0,                   0,                   0,            0.006898,            0.006898,            0.006898
                  96,              1.7967,             0.80433,              1.5431,             0.97407,             0.99543,             0.98736,             0.67982,                   0,                   0,                   0,            0.006865,            0.006865,            0.006865
                  97,              1.7971,             0.80424,              1.5466,             0.97364,             0.99543,             0.98912,             0.68952,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  98,              1.8096,             0.81386,              1.5477,             0.97472,             0.99872,             0.98628,             0.68286,                   0,                   0,                   0,            0.006799,            0.006799,            0.006799
                  99,              1.8005,             0.80354,              1.5363,             0.97737,             0.99828,             0.98704,             0.68717,                   0,                   0,                   0,            0.006766,            0.006766,            0.006766
                 100,              1.8045,             0.81003,              1.5451,             0.97696,             0.99671,               0.988,             0.69222,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                 101,              1.7992,             0.80887,              1.5422,             0.97367,             0.99616,             0.98687,             0.68539,                   0,                   0,                   0,              0.0067,              0.0067,              0.0067
                 102,              1.7898,             0.80096,              1.5352,             0.97624,             0.99671,             0.98722,             0.68826,                   0,                   0,                   0,            0.006667,            0.006667,            0.006667
                 103,              1.7966,             0.80567,              1.5385,             0.97447,             0.99671,             0.98839,             0.68174,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                 104,              1.7898,             0.80644,              1.5335,             0.97555,             0.99671,             0.98774,             0.68248,                   0,                   0,                   0,            0.006601,            0.006601,            0.006601
                 105,              1.7864,             0.80244,              1.5483,             0.97497,             0.99671,             0.98748,             0.68522,                   0,                   0,                   0,            0.006568,            0.006568,            0.006568
                 106,              1.7884,             0.79972,              1.5334,             0.97487,             0.99826,             0.98698,             0.68399,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                 107,              1.7862,             0.79139,              1.5263,              0.9744,             0.99671,             0.98585,             0.67754,                   0,                   0,                   0,            0.006502,            0.006502,            0.006502
                 108,              1.7799,             0.79369,              1.5294,             0.97546,             0.99671,             0.98658,             0.68296,                   0,                   0,                   0,            0.006469,            0.006469,            0.006469
                 109,              1.7749,             0.78769,              1.5366,             0.97578,             0.99671,             0.98532,             0.68642,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                 110,              1.7822,             0.79657,               1.531,             0.97273,             0.99671,             0.98767,             0.68849,                   0,                   0,                   0,            0.006403,            0.006403,            0.006403
                 111,              1.7772,              0.7934,              1.5432,             0.97461,             0.99671,             0.98648,             0.69269,                   0,                   0,                   0,             0.00637,             0.00637,             0.00637
                 112,               1.781,             0.79282,              1.5302,              0.9757,             0.99671,             0.98568,             0.69327,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                 113,               1.781,             0.79628,              1.5382,             0.97274,             0.99671,             0.98641,             0.68467,                   0,                   0,                   0,            0.006304,            0.006304,            0.006304
                 114,               1.774,             0.78719,              1.5232,             0.97663,             0.99872,             0.98683,             0.68654,                   0,                   0,                   0,            0.006271,            0.006271,            0.006271
                 115,              1.7799,             0.79731,               1.539,             0.97366,             0.99671,             0.98682,             0.68427,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                 116,               1.771,             0.78739,              1.5307,             0.97396,             0.99671,             0.98758,             0.68873,                   0,                   0,                   0,            0.006205,            0.006205,            0.006205
                 117,              1.7732,              0.7938,              1.5379,             0.97372,             0.99671,             0.98824,             0.68682,                   0,                   0,                   0,            0.006172,            0.006172,            0.006172
