                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     67,                0.95963,                 0.5464,                0.63049,                 1.2988,                0.82661,                0.91778,                0.90142,                0.80946,                0.82661,                0.91778,                0.89946,                0.78501,                      0,                      0,                      0,                      0,               0.006733,               0.006733,               0.006733
                     68,                0.95808,                0.55447,                0.62373,                 1.3056,                0.92254,                      1,                0.98905,                 0.9061,                0.92254,                      1,                0.98905,                0.92577,                      0,                      0,                      0,                      0,              0.0066835,              0.0066835,              0.0066835
                     69,                0.98448,                0.57328,                0.65925,                 1.3052,                0.93097,                0.87431,                 0.9695,                0.86254,                0.93097,                0.87431,                 0.9695,                0.89637,                      0,                      0,                      0,                      0,               0.006634,               0.006634,               0.006634
                     70,                0.92967,                0.59629,                0.59527,                 1.2523,                0.91357,                0.96947,                0.98559,                0.90601,                0.91357,                0.96947,                0.98559,                0.92611,                      0,                      0,                      0,                      0,              0.0065845,              0.0065845,              0.0065845
                     71,                0.89994,                0.55136,                0.58367,                 1.2884,                0.95578,                0.97273,                0.99129,                0.92439,                0.95578,                0.97273,                0.99129,                0.93241,                      0,                      0,                      0,                      0,               0.006535,               0.006535,               0.006535
                     72,                0.85665,                 0.5452,                0.56922,                 1.2469,                0.98518,                0.99091,                 0.9933,                0.93449,                0.98518,                0.99091,                 0.9933,                0.94733,                      0,                      0,                      0,                      0,              0.0064855,              0.0064855,              0.0064855
                     73,                0.95637,                0.54728,                0.62184,                  1.264,                0.94646,                0.93335,                0.98357,                0.90921,                0.94646,                0.93335,                0.98357,                0.92875,                      0,                      0,                      0,                      0,               0.006436,               0.006436,               0.006436
                     74,                0.95007,                0.54185,                 0.6268,                  1.256,                0.87786,                0.98372,                0.98146,                0.92412,                0.87786,                0.98372,                0.98146,                0.91542,                      0,                      0,                      0,                      0,              0.0063865,              0.0063865,              0.0063865
                     75,                0.88227,                0.49237,                0.56246,                  1.243,                0.89443,                0.98182,                0.95768,                 0.8905,                0.89443,                0.98182,                0.95768,                0.89324,                      0,                      0,                      0,                      0,               0.006337,               0.006337,               0.006337
                     76,                0.88793,                0.51144,                0.58031,                 1.2661,                0.97962,                      1,                 0.9942,                0.92697,                0.97962,                      1,                 0.9942,                0.92782,                      0,                      0,                      0,                      0,              0.0062875,              0.0062875,              0.0062875
                     77,                  0.869,                0.47934,                    inf,                 1.2318,                0.98905,                0.99523,                 0.9942,                0.90999,                0.98905,                0.99523,                 0.9942,                0.93431,                      0,                      0,                      0,                      0,               0.006238,               0.006238,               0.006238
                     78,                0.89461,                0.54418,                0.58342,                 1.2486,                0.87681,                0.92209,                0.94533,                0.88711,                0.87681,                0.92209,                0.94533,                0.85764,                      0,                      0,                      0,                      0,              0.0061885,              0.0061885,              0.0061885
                     79,                0.89439,                0.53808,                0.56039,                 1.2748,                0.87901,                0.91383,                0.95744,                0.90621,                0.87901,                0.91383,                0.95744,                0.90632,                      0,                      0,                      0,                      0,               0.006139,               0.006139,               0.006139
                     80,                0.86154,                0.48576,                0.61267,                 1.2266,                0.87767,                0.91717,                 0.9241,                 0.8361,                0.87767,                0.91717,                0.90081,                0.84271,                      0,                      0,                      0,                      0,              0.0060895,              0.0060895,              0.0060895
                     81,                0.86951,                0.51023,                0.56035,                 1.2422,                0.87501,                0.89649,                0.90249,                0.81434,                0.87501,                0.89649,                0.88547,                0.80721,                      0,                      0,                      0,                      0,                0.00604,                0.00604,                0.00604
                     82,                0.90041,                0.53007,                0.57946,                 1.2493,                0.85674,                0.91015,                 0.9275,                0.83986,                0.85674,                0.91015,                0.89469,                0.83402,                      0,                      0,                      0,                      0,              0.0059905,              0.0059905,              0.0059905
                     83,                 0.8555,                0.50144,                0.57534,                 1.2515,                0.87615,                0.90461,                0.91788,                0.85144,                0.87615,                0.90461,                0.91788,                0.84522,                      0,                      0,                      0,                      0,               0.005941,               0.005941,               0.005941
                     84,                0.89385,                0.49578,                0.57644,                 1.2653,                0.97061,                0.90831,                0.98073,                0.89459,                0.97061,                0.90831,                0.98073,                0.89549,                      0,                      0,                      0,                      0,              0.0058915,              0.0058915,              0.0058915
                     85,                0.90698,                 0.5102,                0.60928,                  1.275,                0.83131,                0.95981,                0.93991,                 0.8708,                0.83131,                0.95981,                0.93991,                0.86478,                      0,                      0,                      0,                      0,               0.005842,               0.005842,               0.005842
                     86,                0.89919,                0.52675,                0.61221,                 1.2928,                0.86158,                0.88313,                0.89524,                0.84229,                0.86158,                0.88313,                0.89524,                0.81038,                      0,                      0,                      0,                      0,              0.0057925,              0.0057925,              0.0057925
                     87,                0.87141,                 0.4911,                0.58232,                 1.2433,                0.88985,                0.96125,                0.97374,                0.91298,                0.88985,                0.96125,                0.97374,                0.92441,                      0,                      0,                      0,                      0,               0.005743,               0.005743,               0.005743
                     88,                0.87473,                0.47331,                    inf,                 1.2225,                0.86421,                0.97443,                0.94942,                0.89548,                0.86421,                0.97443,                0.94942,                0.89987,                      0,                      0,                      0,                      0,              0.0056935,              0.0056935,              0.0056935
                     89,                0.88009,                0.46034,                0.54539,                 1.2315,                0.86478,                0.98182,                0.95565,                0.89497,                0.86478,                0.98182,                0.95565,                0.89244,                      0,                      0,                      0,                      0,               0.005644,               0.005644,               0.005644
                     90,                 0.8723,                0.53629,                0.56237,                 1.2395,                0.93429,                0.92626,                0.98669,                0.91775,                0.93429,                0.92626,                0.98669,                0.94621,                      0,                      0,                      0,                      0,              0.0055945,              0.0055945,              0.0055945
                     91,                0.90409,                0.49428,                0.58694,                 1.2824,                0.96912,                0.93535,                 0.9613,                0.89332,                0.96912,                0.93535,                 0.9613,                0.90081,                      0,                      0,                      0,                      0,               0.005545,               0.005545,               0.005545
                     92,                0.85978,                0.48467,                0.54846,                 1.2315,                0.90754,                0.91717,                0.97142,                0.91442,                0.90754,                0.91717,                0.97142,                0.91476,                      0,                      0,                      0,                      0,              0.0054955,              0.0054955,              0.0054955
                     93,                0.89494,                 0.5353,                  0.596,                 1.2772,                0.87439,                0.90416,                0.95034,                0.88786,                0.87439,                0.90416,                0.95034,                0.90649,                      0,                      0,                      0,                      0,               0.005446,               0.005446,               0.005446
                     94,                0.89856,                 0.5087,                0.59488,                 1.2596,                0.85978,                0.98182,                0.97234,                0.91935,                0.85978,                0.98182,                0.97234,                0.93633,                      0,                      0,                      0,                      0,              0.0053965,              0.0053965,              0.0053965
                     95,                0.91707,                0.50149,                0.56688,                 1.3162,                0.85395,                0.98182,                0.96362,                 0.8973,                0.85395,                0.98182,                0.96362,                0.92088,                      0,                      0,                      0,                      0,               0.005347,               0.005347,               0.005347
                     96,                0.87581,                0.46743,                0.54688,                 1.2304,                0.83233,                0.99369,                0.96447,                0.89129,                0.83233,                0.99369,                0.96447,                0.88666,                      0,                      0,                      0,                      0,              0.0052975,              0.0052975,              0.0052975
                     97,                0.87507,                0.48325,                0.56941,                 1.2454,                0.92976,                0.97686,                0.99375,                0.93793,                0.92976,                0.97686,                0.99375,                0.94964,                      0,                      0,                      0,                      0,               0.005248,               0.005248,               0.005248
                     98,                0.87031,                0.50511,                0.56034,                 1.2561,                0.90063,                0.99406,                 0.9887,                0.93126,                0.90063,                0.99406,                 0.9887,                 0.9323,                      0,                      0,                      0,                      0,              0.0051985,              0.0051985,              0.0051985
                     99,                0.79274,                0.45827,                0.53282,                 1.1883,                0.92548,                0.92644,                0.97087,                0.92586,                0.92548,                0.92644,                0.96769,                0.91585,                      0,                      0,                      0,                      0,               0.005149,               0.005149,               0.005149
                    100,                0.84577,                0.49659,                0.54644,                 1.2599,                0.82989,                 0.9726,                0.96329,                0.89971,                0.82989,                 0.9726,                0.96329,                0.88755,                      0,                      0,                      0,                      0,              0.0050995,              0.0050995,              0.0050995
                    101,                0.85497,                0.51651,                0.57041,                 1.2551,                 0.8851,                0.96298,                0.95015,                 0.8969,                 0.8851,                0.96298,                0.95015,                0.89946,                      0,                      0,                      0,                      0,                0.00505,                0.00505,                0.00505
                    102,                0.84076,                0.51081,                0.52878,                  1.234,                0.88825,                0.97808,                0.96129,                0.89609,                0.88825,                0.97808,                0.96129,                0.90146,                      0,                      0,                      0,                      0,              0.0050005,              0.0050005,              0.0050005
                    103,                0.82055,                0.48347,                 0.5093,                 1.2171,                 0.8836,                0.96732,                0.96367,                0.87941,                 0.8836,                0.96732,                0.96367,                0.88536,                      0,                      0,                      0,                      0,               0.004951,               0.004951,               0.004951
                    104,                0.78867,                0.47085,                0.48952,                  1.217,                0.88918,                0.97273,                0.98238,                0.92132,                0.88918,                0.97273,                0.98238,                0.94476,                      0,                      0,                      0,                      0,              0.0049015,              0.0049015,              0.0049015
                    105,                0.83392,                0.46889,                0.50234,                  1.213,                0.93198,                0.95727,                0.99046,                0.92722,                0.93198,                0.95727,                0.99046,                0.95428,                      0,                      0,                      0,                      0,               0.004852,               0.004852,               0.004852
                    106,                0.86753,                 0.4687,                0.59539,                 1.2221,                0.92308,                 0.9424,                0.98835,                0.93671,                0.92308,                 0.9424,                0.98835,                0.95599,                      0,                      0,                      0,                      0,              0.0048025,              0.0048025,              0.0048025
                    107,                0.81923,                0.50896,                0.55951,                 1.2324,                0.93305,                0.87434,                0.97066,                0.90915,                0.93305,                0.87434,                0.97066,                0.91923,                      0,                      0,                      0,                      0,               0.004753,               0.004753,               0.004753
                    108,                0.86485,                0.50856,                0.54229,                 1.2656,                0.87562,                      1,                0.96697,                0.90674,                0.87562,                      1,                0.96697,                 0.9035,                      0,                      0,                      0,                      0,              0.0047035,              0.0047035,              0.0047035
                    109,                0.78671,                0.46696,                    inf,                 1.1739,                0.93023,                0.99672,                0.98352,                0.93975,                0.93023,                0.99672,                0.98352,                0.92238,                      0,                      0,                      0,                      0,               0.004654,               0.004654,               0.004654
                    110,                0.82871,                0.46694,                0.52637,                 1.2239,                0.86359,                  0.967,                0.97091,                0.92271,                0.86359,                  0.967,                0.97091,                0.90687,                      0,                      0,                      0,                      0,              0.0046045,              0.0046045,              0.0046045
                    111,                 0.8156,                0.47501,                0.49443,                 1.2089,                0.89236,                0.98182,                0.98043,                0.92381,                0.89236,                0.98182,                0.98043,                0.91791,                      0,                      0,                      0,                      0,               0.004555,               0.004555,               0.004555
                    112,                0.84451,                0.49479,                0.56993,                 1.2566,                0.87259,                0.97827,                0.98214,                0.93191,                0.87259,                0.97827,                0.98214,                0.92252,                      0,                      0,                      0,                      0,              0.0045055,              0.0045055,              0.0045055
                    113,                0.79212,                0.45983,                0.49226,                 1.2142,                0.87806,                0.98182,                 0.9304,                0.86637,                0.87806,                0.98182,                 0.9304,                0.87881,                      0,                      0,                      0,                      0,               0.004456,               0.004456,               0.004456
                    114,                 0.8345,                0.49147,                0.52201,                 1.2657,                0.89649,                0.96799,                0.91849,                0.87579,                0.89649,                0.96799,                0.91849,                0.88598,                      0,                      0,                      0,                      0,              0.0044065,              0.0044065,              0.0044065
                    115,                0.77717,                0.46921,                0.48669,                 1.2147,                0.89461,                0.98182,                0.97932,                0.92234,                0.89461,                0.98182,                0.97932,                0.94176,                      0,                      0,                      0,                      0,               0.004357,               0.004357,               0.004357
